word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
302180,Hab,1,1,הַ,הַ,the,el
302181,Hab,1,1,מַּשָּׂא֙,מַשָּׂא,utterance,declaración
302182,Hab,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
302183,Hab,1,1,חָזָ֔ה,חזה,see,ver
302184,Hab,1,1,חֲבַקּ֖וּק,חֲבַקּוּק,Habakkuk,Habacuc
302185,Hab,1,1,הַ,הַ,the,el
302186,Hab,1,1,נָּבִֽיא׃,נָבִיא,prophet,profeta
302187,Hab,1,2,עַד־,עַד,unto,hasta
302188,Hab,1,2,אָ֧נָה,אָן,whither,Adónde
302189,Hab,1,2,יְהוָ֛ה,יְהוָה,YHWH,YHWH
302190,Hab,1,2,שִׁוַּ֖עְתִּי,שׁוע,cry,llorar
302191,Hab,1,2,וְ,וְ,and,y
302192,Hab,1,2,לֹ֣א,לֹא,not,no
302193,Hab,1,2,תִשְׁמָ֑ע,שׁמע,hear,oír
302194,Hab,1,2,אֶזְעַ֥ק,זעק,cry,llorar
302195,Hab,1,2,אֵלֶ֛יךָ,אֶל,to,a
302196,Hab,1,2,חָמָ֖ס,חָמָס,violence,violencia
302197,Hab,1,2,וְ,וְ,and,y
302198,Hab,1,2,לֹ֥א,לֹא,not,no
302199,Hab,1,2,תֹושִֽׁיעַ׃,ישׁע,help,ayuda
302200,Hab,1,3,לָ֣מָּה,לָמָה,why,por qué
302201,Hab,1,3,תַרְאֵ֤נִי,ראה,see,ver
302202,Hab,1,3,אָ֨וֶן֙,אָוֶן,wickedness,malicia
302203,Hab,1,3,וְ,וְ,and,y
302204,Hab,1,3,עָמָ֣ל,עָמָל,labour,labor
302205,Hab,1,3,תַּבִּ֔יט,נבט,look at,mirar
302206,Hab,1,3,וְ,וְ,and,y
302207,Hab,1,3,שֹׁ֥ד,שֹׁד,violence,violencia
302208,Hab,1,3,וְ,וְ,and,y
302209,Hab,1,3,חָמָ֖ס,חָמָס,violence,violencia
302210,Hab,1,3,לְ,לְ,to,a
302211,Hab,1,3,נֶגְדִּ֑י,נֶגֶד,counterpart,contrapartida
302212,Hab,1,3,וַ,וְ,and,y
302213,Hab,1,3,יְהִ֧י,היה,be,ser
302214,Hab,1,3,רִ֦יב,רִיב,law-case,la ley de los casos
302215,Hab,1,3,וּ,וְ,and,y
302216,Hab,1,3,מָדֹ֖ון,מָדֹון,contention,contención
302217,Hab,1,3,יִשָּֽׂא׃,נשׂא,lift,ascensor
302218,Hab,1,4,עַל־,עַל,upon,sobre
302219,Hab,1,4,כֵּן֙,כֵּן,thus,así
302220,Hab,1,4,תָּפ֣וּג,פוג,grow numb,se insensibiliza
