word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
301434,Nah,1,1,מַשָּׂ֖א,מַשָּׂא,utterance,declaración
301435,Nah,1,1,נִֽינְוֵ֑ה,נִינְוֵה,Nineveh,Nínive
301436,Nah,1,1,סֵ֧פֶר,סֵפֶר,letter,carta
301437,Nah,1,1,חֲזֹ֛ון,חָזֹון,vision,visión
301438,Nah,1,1,נַח֖וּם,נַחוּם,[prophet],[profeta]
301439,Nah,1,1,הָ,הַ,the,el
301440,Nah,1,1,אֶלְקֹשִֽׁי׃,אֶלְקֹשִׁי,Elkoshite,Elcos
301441,Nah,1,2,אֵ֣ל,אֵל,god,Dios
301442,Nah,1,2,קַנֹּ֤וא,קַנֹּוא,jealous,celoso
301443,Nah,1,2,וְ,וְ,and,y
301444,Nah,1,2,נֹקֵם֙,נקם,avenge,vengar
301445,Nah,1,2,יְהוָ֔ה,יְהוָה,YHWH,YHWH
301446,Nah,1,2,נֹקֵ֥ם,נקם,avenge,vengar
301447,Nah,1,2,יְהוָ֖ה,יְהוָה,YHWH,YHWH
301448,Nah,1,2,וּ,וְ,and,y
301449,Nah,1,2,בַ֣עַל,בַּעַל,lord,señor
301450,Nah,1,2,חֵמָ֑ה,חֵמָה,heat,calor
301451,Nah,1,2,נֹקֵ֤ם,נקם,avenge,vengar
301452,Nah,1,2,יְהוָה֙,יְהוָה,YHWH,YHWH
301453,Nah,1,2,לְ,לְ,to,a
301454,Nah,1,2,צָרָ֔יו,צַר,adversary,adversario
301455,Nah,1,2,וְ,וְ,and,y
301456,Nah,1,2,נֹוטֵ֥ר,נטר,be angry,estar enojado
301457,Nah,1,2,ה֖וּא,הוּא,he,él
301458,Nah,1,2,לְ,לְ,to,a
301459,Nah,1,2,אֹיְבָֽיו׃,איב,be hostile,ser hostil
301460,Nah,1,3,יְהֹוָ֗ה,יְהוָה,YHWH,YHWH
301461,Nah,1,3,אֶ֤רֶךְ,אָרֵךְ,long,largo
301462,Nah,1,3,אַפַּ֨יִם֙,אַף,nose,nariz
301463,Nah,1,3,וּ,וְ,and,y
301464,Nah,1,3,גְדָל־,גָּדֹול,great,estupendo
301465,Nah,1,3,כֹּ֔חַ,כֹּחַ,strength,fuerza
301466,Nah,1,3,וְ,וְ,and,y
301467,Nah,1,3,נַקֵּ֖ה,נקה,be clean,estar limpio
301468,Nah,1,3,לֹ֣א,לֹא,not,no
301469,Nah,1,3,יְנַקֶּ֑ה,נקה,be clean,estar limpio
301470,Nah,1,3,יְהוָ֗ה,יְהוָה,YHWH,YHWH
301471,Nah,1,3,בְּ,בְּ,in,en
301472,Nah,1,3,סוּפָ֤ה,סוּפָה,storm,tormenta
301473,Nah,1,3,וּ,וְ,and,y
301474,Nah,1,3,בִ,בְּ,in,en
301475,Nah,1,3,שְׂעָרָה֙,שְׂעָרָה,storm,tormenta
301476,Nah,1,3,דַּרְכֹּ֔ו,דֶּרֶךְ,way,camino
301477,Nah,1,3,וְ,וְ,and,y
301478,Nah,1,3,עָנָ֖ן,עָנָן,cloud,nube
301479,Nah,1,3,אֲבַ֥ק,אָבָק,dust,polvo
301480,Nah,1,3,רַגְלָֽיו׃,רֶגֶל,foot,pie
301481,Nah,1,4,גֹּועֵ֤ר,גער,rebuke,reprensión
301482,Nah,1,4,בַּ,בְּ,in,en
301483,Nah,1,4,,הַ,the,el
301484,Nah,1,4,יָּם֙,יָם,sea,mar
301485,Nah,1,4,וַֽ,וְ,and,y
301486,Nah,1,4,יַּבְּשֵׁ֔הוּ,יבשׁ,be dry,estar seca
301487,Nah,1,4,וְ,וְ,and,y
301488,Nah,1,4,כָל־,כֹּל,whole,todo
301489,Nah,1,4,הַ,הַ,the,el
301490,Nah,1,4,נְּהָרֹ֖ות,נָהָר,stream,corriente
301491,Nah,1,4,הֶֽחֱרִ֑יב,חרב,be dry,estar seca
301492,Nah,1,4,אֻמְלַ֤ל,אמל,wither,marchitar
