word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
295382,Amo,1,1,דִּבְרֵ֣י,דָּבָר,word,palabra
295383,Amo,1,1,עָמֹ֔וס,עָמֹוס,Amos,Amos
295384,Amo,1,1,אֲשֶׁר־,אֲשֶׁר,[relative],[relativo]
295385,Amo,1,1,הָיָ֥ה,היה,be,ser
295386,Amo,1,1,בַ,בְּ,in,en
295387,Amo,1,1,,הַ,the,el
295388,Amo,1,1,נֹּקְדִ֖ים,נֹקֵד,sheep-raiser,ovejas de fondos
295389,Amo,1,1,מִ,מִן,from,de
295390,Amo,1,1,תְּקֹ֑ועַ,תְּקֹועַ,Tekoa,tekoa
295391,Amo,1,1,אֲשֶׁר֩,אֲשֶׁר,[relative],[relativo]
295392,Amo,1,1,חָזָ֨ה,חזה,see,ver
295393,Amo,1,1,עַל־,עַל,upon,sobre
295394,Amo,1,1,יִשְׂרָאֵ֜ל,יִשְׂרָאֵל,Israel,Israel
295395,Amo,1,1,בִּ,בְּ,in,en
295396,Amo,1,1,ימֵ֣י׀,יֹום,day,día
295397,Amo,1,1,עֻזִּיָּ֣ה,עֻזִּיָּה,Uzziah,Ozías
295398,Amo,1,1,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
295399,Amo,1,1,יְהוּדָ֗ה,יְהוּדָה,Judah,Judá
295400,Amo,1,1,וּ,וְ,and,y
295401,Amo,1,1,בִ,בְּ,in,en
295402,Amo,1,1,ימֵ֞י,יֹום,day,día
295403,Amo,1,1,יָרָבְעָ֤ם,יָרָבְעָם,Jeroboam,Botella grande
295404,Amo,1,1,בֶּן־,בֵּן,son,hijo
295405,Amo,1,1,יֹואָשׁ֙,יֹואָשׁ,Joash,Joás
295406,Amo,1,1,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
295407,Amo,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
295408,Amo,1,1,שְׁנָתַ֖יִם,שָׁנָה,year,año
295409,Amo,1,1,לִ,לְ,to,a
295410,Amo,1,1,פְנֵ֥י,פָּנֶה,face,cara
295411,Amo,1,1,הָ,הַ,the,el
295412,Amo,1,1,רָֽעַשׁ׃,רַעַשׁ,quaking,temblante
295413,Amo,1,2,וַ,וְ,and,y
295414,Amo,1,2,יֹּאמַ֓ר׀,אמר,say,decir
295415,Amo,1,2,יְהוָה֙,יְהוָה,YHWH,YHWH
295416,Amo,1,2,מִ,מִן,from,de
295417,Amo,1,2,צִּיֹּ֣ון,צִיֹּון,Zion,Sión
295418,Amo,1,2,יִשְׁאָ֔ג,שׁאג,roar,rugido
295419,Amo,1,2,וּ,וְ,and,y
295420,Amo,1,2,מִ,מִן,from,de
295421,Amo,1,2,ירוּשָׁלִַ֖ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
295422,Amo,1,2,יִתֵּ֣ן,נתן,give,dar
295423,Amo,1,2,קֹולֹ֑ו,קֹול,sound,sonar
295424,Amo,1,2,וְ,וְ,and,y
295425,Amo,1,2,אָֽבְלוּ֙,אבל,dry up,secarse
295426,Amo,1,2,נְאֹ֣ות,נָוָה,pasture,pastar
295427,Amo,1,2,הָ,הַ,the,el
295428,Amo,1,2,רֹעִ֔ים,רעה,pasture,pastar
295429,Amo,1,2,וְ,וְ,and,y
295430,Amo,1,2,יָבֵ֖שׁ,יבשׁ,be dry,estar seca
295431,Amo,1,2,רֹ֥אשׁ,רֹאשׁ,head,cabeza
295432,Amo,1,2,הַ,הַ,the,el
295433,Amo,1,2,כַּרְמֶֽל׃ פ,כַּרְמֶל,Carmel,Carmel
295434,Amo,1,3,כֹּ֚ה,כֹּה,thus,así
295435,Amo,1,3,אָמַ֣ר,אמר,say,decir
295436,Amo,1,3,יְהוָ֔ה,יְהוָה,YHWH,YHWH
295437,Amo,1,3,עַל־,עַל,upon,sobre
295438,Amo,1,3,שְׁלֹשָׁה֙,שָׁלֹשׁ,three,Tres
295439,Amo,1,3,פִּשְׁעֵ֣י,פֶּשַׁע,rebellion,rebelión
295440,Amo,1,3,דַמֶּ֔שֶׂק,דַּמֶּשֶׂק,Damascus,Damasco
295441,Amo,1,3,וְ,וְ,and,y
295442,Amo,1,3,עַל־,עַל,upon,sobre
295443,Amo,1,3,אַרְבָּעָ֖ה,אַרְבַּע,four,las cuatro
295444,Amo,1,3,לֹ֣א,לֹא,not,no
295445,Amo,1,3,אֲשִׁיבֶ֑נּוּ,שׁוב,return,regreso
295446,Amo,1,3,עַל־,עַל,upon,sobre
295447,Amo,1,3,דּוּשָׁ֛ם,דושׁ,tread on,pisar
