word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
363508,Lam,1,1,אֵיכָ֣ה׀,אֵיכָה,how,cómo
363509,Lam,1,1,יָשְׁבָ֣ה,ישׁב,sit,sentar
363510,Lam,1,1,בָדָ֗ד,בָּדָד,alone,solo
363511,Lam,1,1,הָ,הַ,the,el
363512,Lam,1,1,עִיר֙,עִיר,town,pueblo
363513,Lam,1,1,רַבָּ֣תִי,רַב,much,mucho
363514,Lam,1,1,עָ֔ם,עַם,people,gente
363515,Lam,1,1,הָיְתָ֖ה,היה,be,ser
363516,Lam,1,1,כְּ,כְּ,as,como
363517,Lam,1,1,אַלְמָנָ֑ה,אַלְמָנָה,widow,Vdo
363518,Lam,1,1,רַבָּ֣תִי,רַב,much,mucho
363519,Lam,1,1,בַ,בְּ,in,en
363520,Lam,1,1,,הַ,the,el
363521,Lam,1,1,גֹּויִ֗ם,גֹּוי,people,gente
363522,Lam,1,1,שָׂרָ֨תִי֙,שָׂרָה,mistress,amante
363523,Lam,1,1,בַּ,בְּ,in,en
363524,Lam,1,1,,הַ,the,el
363525,Lam,1,1,מְּדִינֹ֔ות,מְדִינָה,district,distrito
363526,Lam,1,1,הָיְתָ֖ה,היה,be,ser
363527,Lam,1,1,לָ,לְ,to,a
363528,Lam,1,1,מַֽס׃ ס,מַס,forced labour,trabajo forzado
363529,Lam,1,2,בָּכֹ֨ו,בכה,weep,llorar
363530,Lam,1,2,תִבְכֶּ֜ה,בכה,weep,llorar
363531,Lam,1,2,בַּ,בְּ,in,en
363532,Lam,1,2,,הַ,the,el
363533,Lam,1,2,לַּ֗יְלָה,לַיְלָה,night,noche
363534,Lam,1,2,וְ,וְ,and,y
363535,Lam,1,2,דִמְעָתָהּ֙,דִּמְעָה,tear,lágrima
363536,Lam,1,2,עַ֣ל,עַל,upon,sobre
363537,Lam,1,2,לֶֽחֱיָ֔הּ,לְחִי,jaw,mandíbula
363538,Lam,1,2,אֵֽין־,אַיִן,[NEG],[NEG]
363539,Lam,1,2,לָ֥הּ,לְ,to,a
363540,Lam,1,2,מְנַחֵ֖ם,נחם,repent,arrepentirse
363541,Lam,1,2,מִ,מִן,from,de
363542,Lam,1,2,כָּל־,כֹּל,whole,todo
363543,Lam,1,2,אֹהֲבֶ֑יהָ,אהב,love,amor
363544,Lam,1,2,כָּל־,כֹּל,whole,todo
363545,Lam,1,2,רֵעֶ֨יהָ֙,רֵעַ,fellow,compañero
363546,Lam,1,2,בָּ֣גְדוּ,בגד,deal treacherously,menospreciaremos
