word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
303077,Sof,1,1,דְּבַר־,דָּבָר,word,palabra
303078,Sof,1,1,יְהוָ֣ה׀,יְהוָה,YHWH,YHWH
303079,Sof,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
303080,Sof,1,1,הָיָ֗ה,היה,be,ser
303081,Sof,1,1,אֶל־,אֶל,to,a
303082,Sof,1,1,צְפַנְיָה֙,צְפַנְיָה,Zephaniah,Sofonías
303083,Sof,1,1,בֶּן־,בֵּן,son,hijo
303084,Sof,1,1,כּוּשִׁ֣י,כּוּשִׁי,Cushi,Cusi
303085,Sof,1,1,בֶן־,בֵּן,son,hijo
303086,Sof,1,1,גְּדַלְיָ֔ה,גְּדַלְיָה,Gedaliah,Gedalías
303087,Sof,1,1,בֶּן־,בֵּן,son,hijo
303088,Sof,1,1,אֲמַרְיָ֖ה,אֲמַרְיָה,Amariah,Amarías
303089,Sof,1,1,בֶּן־,בֵּן,son,hijo
303090,Sof,1,1,חִזְקִיָּ֑ה,חִזְקִיָּה,Hizkiah,Ezequías
303091,Sof,1,1,בִּ,בְּ,in,en
303092,Sof,1,1,ימֵ֛י,יֹום,day,día
303093,Sof,1,1,יֹאשִׁיָּ֥הוּ,יֹאשִׁיָּהוּ,Josiah,Josías
303094,Sof,1,1,בֶן־,בֵּן,son,hijo
303095,Sof,1,1,אָמֹ֖ון,אָמֹון,Amon,Amon
303096,Sof,1,1,מֶ֥לֶךְ,מֶלֶךְ,king,Rey
303097,Sof,1,1,יְהוּדָֽה׃,יְהוּדָה,Judah,Judá
303098,Sof,1,2,אָסֹ֨ף,אסף,gather,reunir
303099,Sof,1,2,אָסֵ֜ף,אסף,gather,reunir
303100,Sof,1,2,כֹּ֗ל,כֹּל,whole,todo
303101,Sof,1,2,מֵ,מִן,from,de
303102,Sof,1,2,עַ֛ל,עַל,upon,sobre
303103,Sof,1,2,פְּנֵ֥י,פָּנֶה,face,cara
303104,Sof,1,2,הָ,הַ,the,el
303105,Sof,1,2,אֲדָמָ֖ה,אֲדָמָה,soil,suelo
303106,Sof,1,2,נְאֻם־,נְאֻם,speech,habla
303107,Sof,1,2,יְהוָֽה׃,יְהוָה,YHWH,YHWH
303108,Sof,1,3,אָסֵ֨ף,אסף,gather,reunir
303109,Sof,1,3,אָדָ֜ם,אָדָם,human,humano
303110,Sof,1,3,וּ,וְ,and,y
303111,Sof,1,3,בְהֵמָ֗ה,בְּהֵמָה,cattle,ganado
303112,Sof,1,3,אָסֵ֤ף,אסף,gather,reunir
303113,Sof,1,3,עֹוף־,עֹוף,birds,aves
303114,Sof,1,3,הַ,הַ,the,el
303115,Sof,1,3,שָּׁמַ֨יִם֙,שָׁמַיִם,heavens,Cielos
303116,Sof,1,3,וּ,וְ,and,y
303117,Sof,1,3,דְגֵ֣י,דָּג,fish,pescado
303118,Sof,1,3,הַ,הַ,the,el
303119,Sof,1,3,יָּ֔ם,יָם,sea,mar
303120,Sof,1,3,וְ,וְ,and,y
303121,Sof,1,3,הַ,הַ,the,el
303122,Sof,1,3,מַּכְשֵׁלֹ֖ות,מַכְשֵׁלָה,decay,decaer
303123,Sof,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
303124,Sof,1,3,הָ,הַ,the,el
303125,Sof,1,3,רְשָׁעִ֑ים,רָשָׁע,guilty,culpable
303126,Sof,1,3,וְ,וְ,and,y
303127,Sof,1,3,הִכְרַתִּ֣י,כרת,cut,cortar
303128,Sof,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
303129,Sof,1,3,הָ,הַ,the,el
303130,Sof,1,3,אָדָ֗ם,אָדָם,human,humano
303131,Sof,1,3,מֵ,מִן,from,de
303132,Sof,1,3,עַ֛ל,עַל,upon,sobre
303133,Sof,1,3,פְּנֵ֥י,פָּנֶה,face,cara
303134,Sof,1,3,הָ,הַ,the,el
303135,Sof,1,3,אֲדָמָ֖ה,אֲדָמָה,soil,suelo
303136,Sof,1,3,נְאֻם־,נְאֻם,speech,habla
303137,Sof,1,3,יְהוָֽה׃,יְהוָה,YHWH,YHWH
303138,Sof,1,4,וְ,וְ,and,y
303139,Sof,1,4,נָטִ֤יתִי,נטה,extend,ampliar
303140,Sof,1,4,יָדִי֙,יָד,hand,mano
303141,Sof,1,4,עַל־,עַל,upon,sobre
303142,Sof,1,4,יְהוּדָ֔ה,יְהוּדָה,Judah,Judá
303143,Sof,1,4,וְ,וְ,and,y
303144,Sof,1,4,עַ֖ל,עַל,upon,sobre
303145,Sof,1,4,כָּל־,כֹּל,whole,todo
303146,Sof,1,4,יֹושְׁבֵ֣י,ישׁב,sit,sentar
303147,Sof,1,4,יְרוּשָׁלִָ֑ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
303148,Sof,1,4,וְ,וְ,and,y
303149,Sof,1,4,הִכְרַתִּ֞י,כרת,cut,cortar
303150,Sof,1,4,מִן־,מִן,from,de
303151,Sof,1,4,הַ,הַ,the,el
303152,Sof,1,4,מָּקֹ֤ום,מָקֹום,place,lugar
303153,Sof,1,4,הַ,הַ,the,el
303154,Sof,1,4,זֶּה֙,זֶה,this,esta
303155,Sof,1,4,אֶת־,אֵת,[object marker],[Marcador de objeto]
303156,Sof,1,4,שְׁאָ֣ר,שְׁאָר,rest,descanso
303157,Sof,1,4,הַ,הַ,the,el
303158,Sof,1,4,בַּ֔עַל,בַּעַל,lord,señor
303159,Sof,1,4,אֶת־,אֵת,[object marker],[Marcador de objeto]
303160,Sof,1,4,שֵׁ֥ם,שֵׁם,name,nombre
303161,Sof,1,4,הַ,הַ,the,el
303162,Sof,1,4,כְּמָרִ֖ים,כֹּמֶר,idol priest,sacerdote de ídolos
303163,Sof,1,4,עִם־,עִם,with,con
303164,Sof,1,4,הַ,הַ,the,el
303165,Sof,1,4,כֹּהֲנִֽים׃,כֹּהֵן,priest,sacerdote
303166,Sof,1,5,וְ,וְ,and,y
303167,Sof,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
303168,Sof,1,5,הַ,הַ,the,el
303169,Sof,1,5,מִּשְׁתַּחֲוִ֥ים,חוה,bow down,reverencia
303170,Sof,1,5,עַל־,עַל,upon,sobre
303171,Sof,1,5,הַ,הַ,the,el
303172,Sof,1,5,גַּגֹּ֖ות,גָּג,roof,techo
303173,Sof,1,5,לִ,לְ,to,a
303174,Sof,1,5,צְבָ֣א,צָבָא,service,Servicio
303175,Sof,1,5,הַ,הַ,the,el
303176,Sof,1,5,שָּׁמָ֑יִם,שָׁמַיִם,heavens,Cielos
303177,Sof,1,5,וְ,וְ,and,y
303178,Sof,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
303179,Sof,1,5,הַ,הַ,the,el
303180,Sof,1,5,מִּֽשְׁתַּחֲוִים֙,חוה,bow down,reverencia
303181,Sof,1,5,הַ,הַ,the,el
303182,Sof,1,5,נִּשְׁבָּעִ֣ים,שׁבע,swear,jurar
303183,Sof,1,5,לַֽ,לְ,to,a
303184,Sof,1,5,יהוָ֔ה,יְהוָה,YHWH,YHWH
303185,Sof,1,5,וְ,וְ,and,y
303186,Sof,1,5,הַ,הַ,the,el
303187,Sof,1,5,נִּשְׁבָּעִ֖ים,שׁבע,swear,jurar
303188,Sof,1,5,בְּ,בְּ,in,en
303189,Sof,1,5,מַלְכָּֽם׃,מַלְכָּם,Malcam,Malcam
303190,Sof,1,6,וְ,וְ,and,y
303191,Sof,1,6,אֶת־,אֵת,[object marker],[Marcador de objeto]
303192,Sof,1,6,הַ,הַ,the,el
303193,Sof,1,6,נְּסֹוגִ֖ים,סוג,turn,giro
303194,Sof,1,6,מֵ,מִן,from,de
303195,Sof,1,6,אַחֲרֵ֣י,אַחַר,after,después
303196,Sof,1,6,יְהוָ֑ה,יְהוָה,YHWH,YHWH
303197,Sof,1,6,וַ,וְ,and,y
303198,Sof,1,6,אֲשֶׁ֛ר,אֲשֶׁר,[relative],[relativo]
303199,Sof,1,6,לֹֽא־,לֹא,not,no
303200,Sof,1,6,בִקְשׁ֥וּ,בקשׁ,seek,buscar
303201,Sof,1,6,אֶת־,אֵת,[object marker],[Marcador de objeto]
303202,Sof,1,6,יְהוָ֖ה,יְהוָה,YHWH,YHWH
303203,Sof,1,6,וְ,וְ,and,y
303204,Sof,1,6,לֹ֥א,לֹא,not,no
303205,Sof,1,6,דְרָשֻֽׁהוּ׃,דרשׁ,inquire,preguntar
303206,Sof,1,7,הַ֕ס,הסה,be still,Estate quieto
303207,Sof,1,7,מִ,מִן,from,de
303208,Sof,1,7,פְּנֵ֖י,פָּנֶה,face,cara
303209,Sof,1,7,אֲדֹנָ֣י,אֲדֹנָי,Lord,Señor
303210,Sof,1,7,יְהוִ֑ה,יְהוָה,YHWH,YHWH
303211,Sof,1,7,כִּ֤י,כִּי,that,ese
303212,Sof,1,7,קָרֹוב֙,קָרֹוב,near,cerca
303213,Sof,1,7,יֹ֣ום,יֹום,day,día
303214,Sof,1,7,יְהוָ֔ה,יְהוָה,YHWH,YHWH
303215,Sof,1,7,כִּֽי־,כִּי,that,ese
303216,Sof,1,7,הֵכִ֧ין,כון,be firm,Se firme
303217,Sof,1,7,יְהוָ֛ה,יְהוָה,YHWH,YHWH
303218,Sof,1,7,זֶ֖בַח,זֶבַח,sacrifice,sacrificio
303219,Sof,1,7,הִקְדִּ֥ישׁ,קדשׁ,be holy,ser santo
303220,Sof,1,7,קְרֻאָֽיו׃,קרא,call,llamada
303221,Sof,1,8,וְ,וְ,and,y
303222,Sof,1,8,הָיָ֗ה,היה,be,ser
303223,Sof,1,8,בְּ,בְּ,in,en
